Name_EN,Nom_FR,SubClass_EN,SousClasse_FR,PharmacologicalClass_EN,ClassePharmacologique_FR,Act,Schedule,Item,Subitem,Line,Subline
5F-AB-PINACA,5F-AB-PINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-ADB-PICA (5F-ADBICA),5F-ADB-PICA (5F-ADBICA),Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-AKB57,5F-AKB57,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-A-P7AICA,5F-A-P7AICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-APINAC,5F-APINAC,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-APP-PINACA,5F-APP-PINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-CUMYL-PINACA,5F-CUMYL-PINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-EDMB-PINACA,5F-EDMB-PINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-EMB-PICA,5F-EMB-PICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-EMB-PINACA,5F-EMB-PINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5-fluoropentyl-3-pyridinoylindole,5-fluoropentyl-3-pyridinoylindole,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-MDMB-P7AICA,5F-MDMB-P7AICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-MN-18,5F-MN-18,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-NNE1,5F-NNE1,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-NPB-22,5F-NPB-22,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-PY-PICA,5F-PY-PICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-PY-PINACA,5F-PY-PINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-SDB-005,5F-SDB-005,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-SDB-006,5F-SDB-006,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-SGT-151,5F-SGT-151,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5F-UR-144 indazole,5F-UR-144 indazole,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
5-methoxy-3-(2-methoxybenzyl)-7-pentyl-2H-chromen-2-one,5-methoxy-3-(2-methoxybenzyl)-7-pentyl-2H-chromen-2-one,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
"5-methoxy-3,4-methylenedioxyamphetamine","Méthoxy-5 méthylènedioxy-3,4 amphétamine",Amphetamines / methamphetamines,Amphétamines / méthamphétamines,Stimulants,Stimulants,CD,I,19,,10,
"5-Methoxy-N,N-diisopropyltryptamine","Méthoxy-5 N,N-diisopropyltryptamine",Tryptamines ,Tryptamines ,Hallucinogens,Hallucinogènes,OT,,,,,
5-Methoxy-N-methyl-N-isopropyltryptamine,Méthoxy-5 N-methyl N-isopropyltryptamine,Tryptamines ,Tryptamines ,Hallucinogens,Hallucinogènes,OT,,,,,
6-Acetylmorphine,Acétyl-6 morphine,Opiates,Opiacés,Opioids,Opioïdes,CD,I,1,,3,
7-hydroxymitragynine,7-hydroxymitragynine,Other opioids,Autres opioïdes,Opioids,Opioïdes,,,,,,
"A-834,735","A-834,735",Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
"A-836,339","A-836,339",Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
AB-005,AB-005,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
AB-005 azepane isomer,AB-005 azepane isomer,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
AB-4en-PICA,AB-4en-PICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
AB-CHMFUPPYCA,AB-CHMFUPPYCA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
AB-CHMICA,AB-CHMICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
AB-CHMINACA 2’-indazole isomer,AB-CHMINACA 2’-indazole isomer,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
AB-FUBINACA 2-fluorobenzyl isomer,AB-FUBINACA 2-fluorobenzyl isomer,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
ABO-4en-PINACA,ABO-4en-PINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
AB-PICA,AB-PICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
AB-PINACA N-(2-fluoropentyl),AB-PINACA N-(2-fluoropentyl),Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
Acetaminophen,Acétaminophène,Cutting agents,Agents de coupe,Other,Autre,FD,F,,,,
Acetone,Acétone,Precursors / key intermediates / reagents  ,Précurseurs / intermédiaires clés / Réactifs,Other,Autre,OT,,,,,
Acetorphine,Acétorphine,Opiates,Opiacés,Opioids,Opioïdes,CD,I,1,,5,
Acetylbenzylfentanyl,Acetylbenzylfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
Acetylcodeine,Acétylcodéine,Opiates,Opiacés,Opioids,Opioïdes,CD,I,1,,2,
Acetyldihydrocodeine,Acétyldihydrocodéine,Opiates,Opiacés,Opioids,Opioïdes,CD,I,1,,6,
Acetylfentanyl,Acétylfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,CD,I,16,,,
Acetylmethadol,Acétylméthadol,Other opioids,Autres opioïdes,Opioids,Opioïdes,CD,I,6,,1,
Acetylsalicylic acid,Acide acétylsalicylique,Cutting agents,Agents de coupe,Other,Autre,OT,,,,,
acrylfentanyl,acrylfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
Racemorphan,Racémorphane,Opiates,Opiacés,Opioids,Opioïdes,CD,I,10,,9,
ADB-4en-PINACA,ADB-4en-PINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
ADB-BINACA,ADB-BINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
ADB-CHMICA,ADB-CHMICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
ADB-FUBICA,ADB-FUBICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
ADB-HEXINACA,ADB-HEXINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
ADBICA,ADBICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
ADB-P7AICA,ADB-P7AICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
ADB-PINACA,ADB-PINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
Adinazolam,Adinazolam,Benzodiazepines,Benzodiazépines,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,18,,,
AKB-57,AKB-57,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
Alfentanil,Alfentanil,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,CD,I,16,,2,
Allobarbital,Allobarbital,Barbiturates,Barbituriques,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,1,,1,
Allylprodine,Allylprodine,Other opioids,Autres opioïdes,Opioids,Opioïdes,CD,I,3,,1,
Alphacetylmethadol,Alphacétylméthadol,Other opioids,Autres opioïdes,Opioids,Opioïdes,CD,I,6,,2,
Alphameprodine,Alphaméprodine,Other opioids,Autres opioïdes,Opioids,Opioïdes,CD,I,3,,2,
Alphamethadol,Alphaméthadol,Other opioids,Autres opioïdes,Opioids,Opioïdes,CD,I,6,,3,
Alphaprodine,Alphaprodine,Other opioids,Autres opioïdes,Opioids,Opioïdes,CD,I,3,,3,
Alprazolam,Alprazolam,Benzodiazepines,Benzodiazépines,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,18,,1,
AM-1172,AM-1172,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
AM-1220 azepane isomer,AM-1220 azepane isomer,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
AM-1241,AM-1241,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
AM-1248,AM-1248,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
AM-1248 azepane isomer,AM-1248 azepane isomer,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
AM-2201 N-(4-fluoropentyl),AM-2201 N-(4-fluoropentyl),Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
AM-2232,AM-2232,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
AM-356,AM-356,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
AM-679,AM-679,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
Amineptine,Amineptine,Tricyclic Antidepressants (TCA),Antidépresseurs tricycliques (ATC),Antidepressants,Antidépresseurs,CD,III,32,,,
Aminopyrine,Aminopyrine,"Other (drugs) prescription, otc, or illicit","Autres (drogues) de prescription, en vente libre ou illicites",Other,Autre,FD,F,,,,
Amitriptyline,Amitriptyline,Tricyclic Antidepressants (TCA),Antidépresseurs tricycliques (ATC),Antidepressants,Antidépresseurs,FD,F,,,,
Amobarbital,Amobarbital,Barbiturates,Barbituriques,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,1,,3,
Amphetamine,Amphétamine,Amphetamines / methamphetamines,Amphétamines / méthamphétamines,Stimulants,Stimulants,CD,I,19,,1,
Androstenedione,Androstènedione,Steroids,Stéroïdes,Physical performance enhancers,Substances améliorant la performance physique,CD,IV,23,,,
Anileridine,Aniléridine,Other opioids,Autres opioïdes,Opioids,Opioïdes,CD,I,3,,4,
Aniline,Aniline,Precursors / key intermediates / reagents  ,Précurseurs / intermédiaires clés / Réactifs,Other,Autre,OT,,,,,
Antipyrine,Antipyrine,"Other (drugs) prescription, otc, or illicit","Autres (drogues) de prescription, en vente libre ou illicites",Other,Autre,FD,F,,,,
AP-238,AP-238,Other opioids,Autres opioïdes,Opioids,Opioïdes,,,,,,
APP-BUTINACA,APP-BUTINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
APP-CHMICA,APP-CHMICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
APP-CHMINACA,APP-CHMINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
APP-FUBINACA,APP-FUBINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
Aripiprazole,Aripiprazole,Atypical antipsychotics,Antypsychotiques atypiques,Antipsychotics,Antipsychotiques,FD,F,,,,
Atomoxetine,Atomoxetine or its salts,"Other (drugs) prescription, otc, or illicit","Autres (drogues) de prescription, en vente libre ou illicites",Other,Autre,FD,F,,,,
Baclofen,Baclofène,Muscle relaxants,Relaxants musculaires,Other,Autre,FD,F,,,,
Barbital,Barbital,Barbiturates,Barbituriques,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,1,,5,
Benocyclidine,Benocyclidine,Other stimulants,Autres stimulants,Stimulants,Stimulants,CD,I,14,,,
Benzaldehyde,Benzaldéhyde,Precursors / key intermediates / reagents  ,Précurseurs / intermédiaires clés / Réactifs,Other,Autre,OT,,,,,
Benzethidine,Benzéthidine,Other opioids,Autres opioïdes,Opioids,Opioïdes,CD,I,3,,7,
Benzocaine,Benzocaïne,Cutting agents,Agents de coupe,Other,Autre,OT,,,,,
benzodioxolefentanyl,benzodioxolefentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
Benzoyl ecgonine,Benzoyle ecgonine,Tropanes (stimulant),Tropanes (stimulant),Stimulants,Stimulants,CD,I,2,,,
Benzoylbenzylfentanyl,Benzoylbenzylfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
Benzphetamine,Benzphétamine,Amphetamines / methamphetamines,Amphétamines / méthamphétamines,Stimulants,Stimulants,CD,I,19,,17,
benzyl-4-cyano BUTINACA,benzyl-4-cyano BUTINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
Benzylmorphine,Benzylmorphine,Opiates,Opiacés,Opioids,Opioïdes,CD,I,1,,7,
Benzylpiperazine,Benzylpipérazine,Arylpiperazines & benzylpiperazines,Arylpipérazines  & benzylpipérazines,Stimulants,Stimulants,CD,III,33,,,
Betacetylmethadol,Bétacétylméthadol,Other opioids,Autres opioïdes,Opioids,Opioïdes,CD,I,6,,4,
beta-hydroxythiofentanyl,beta-hydroxythiofentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
Betameprodine,Bétaméprodine,Other opioids,Autres opioïdes,Opioids,Opioïdes,CD,I,3,,5,
Betamethadol,"Bétaméthadol(ß-diméthylamino-6 diphényl-4,4 heptanol-3)",Other opioids,Autres opioïdes,Opioids,Opioïdes,CD,I,6,,5,
beta-methylfentanyl,beta-methylfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
Betaprodine,Bétaprodine,Other opioids,Autres opioïdes,Opioids,Opioïdes,CD,I,3,,6,
Bezitramide,Bezitramide,Other opioids,Autres opioïdes,Opioids,Opioïdes,,,,,,
Boldenone undecylenate,Undécylénate de boldénone,Steroids,Stéroïdes,Physical performance enhancers,Substances améliorant la performance physique,CD,IV,23,,,
Boric acid,Acide borique,Cutting agents,Agents de coupe,Other,Autre,OT,,,,,
Bromazepam,Bromazépam,Benzodiazepines,Benzodiazépines,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,18,,2,
Bromazolam,Bromazolam,Benzodiazepines,Benzodiazépines,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,18,,,
Bromofentanyl,Bromofentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,CD,I,16,,,
Brotizolam,Brotizolam,Benzodiazepines,Benzodiazépines,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,18,,2.1,
Buprenorphine,Buprénorphine,Opiates,Opiacés,Opioids,Opioïdes,CD,I,10,,1,
Bupropion,Bupropion,Cathinones,Cathinones,Stimulants,Stimulants,FD,F,,,,
Butabarbital,Butabarbital,Barbiturates,Barbituriques,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,1,,7,
Butalbital,Butalbital,Barbiturates,Barbituriques,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,1,,8,
Butethal,Butéthal,Barbiturates,Barbituriques,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,,,,
Butobarbital,Butobarbital,Barbiturates,Barbituriques,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,1,,6,
Butyryl fentanyl,Butyryl fentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,CD,I,16,,,
Caffeine,Caféine,Cutting agents,Agents de coupe,Other,Autre,OT,,,,,
Camazepam,Camazépam,Benzodiazepines,Benzodiazépines,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,18,,3,
cannabidibutol (CBDB),cannabidibutol (CBDB),Cannabinoids & derivatives,Cannabinoïdes & dérivés,Cannabinoids,Cannabinoïdes,,,,,,
cannabidivarin (CBDV),cannabidivarin (CBDV),Cannabinoids & derivatives,Cannabinoïdes & dérivés,Cannabinoids,Cannabinoïdes,,,,,,
Cannabipiperidiethanone,Cannabipiperidiethanone,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
Cannabis,Cannabis,Cannabinoids & derivatives,Cannabinoïdes & dérivés,Cannabinoids,Cannabinoïdes,CA,3,,,,
Cannabis concentrates,Cannabis sous forme de concentré,Cannabinoids & derivatives,Cannabinoïdes & dérivés,Cannabinoids,Cannabinoïdes,CA,3,5,,,
Cannabis non-solid concentrates,Cannabis sous forme d’un concentré qui n’est pas un solide,Cannabinoids & derivatives,Cannabinoïdes & dérivés,Cannabinoids,Cannabinoïdes,CA,3,6,,,
Cannabis solid concentrates,Cannabis sous forme d’un concentré solide,Cannabinoids & derivatives,Cannabinoïdes & dérivés,Cannabinoids,Cannabinoïdes,CA,3,5,,,
Carbamazepine,Carbamazépine,"Other (drugs) prescription, otc, or illicit","Autres (drogues) de prescription, en vente libre ou illicites",Other,Autre,FD,F,,,,
Carfentanil,Carfentanil,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,CD,I,16,,3,
Catha edulis Forsk.,Catha edulis Forsk.,Phenethylamines (stimulant),Phénéthylamines (stimulant),Stimulants,Stimulants,CD,IV,19,,,
Cathine,Cathine,Phenethylamines (stimulant),Phénéthylamines (stimulant),Stimulants,Stimulants,CD,IV,19,,1,
Cathinone,Cathinone,Cathinones,Cathinones,Stimulants,Stimulants,CD,III,19,,,
CB-13,CB-13,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
CBL-018,CBL-018,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
Cellulose,Cellulose,Cutting agents,Agents de coupe,Other,Autre,OT,,,,,
Cetirizine,Cétirizine,Arylpiperazines & benzylpiperazines,Arylpipérazines  & benzylpipérazines,Stimulants,Stimulants,FD,F,,,,
Chlordiazepoxide,Chlorodiazépoxide,Benzodiazepines,Benzodiazépines,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,18,,4,
Chloro-dimethoxyamphetamine,Chloro-diméthoxyamphétamine,Phenethylamines (hallucinogen),Phénéthylamines (hallucinogène),Hallucinogens,Hallucinogènes,CD,I,19,,15,
Chlorophenylpiperazine,Chlorophénylpipérazine,Arylpiperazines & benzylpiperazines,Arylpipérazines  & benzylpipérazines,Stimulants,Stimulants,OT,,,,,
Chloroquine,Chloroquine,Cutting agents,Agents de coupe,Other,Autre,FD,F,,,,
Chlorpheniramine,Chlorphéniramine,Cutting agents,Agents de coupe,Other,Autre,OT,,,,,
Chlorpromazine,Chlorpromazine,"Other (drugs) prescription, otc, or illicit","Autres (drogues) de prescription, en vente libre ou illicites",Other,Autre,FD,F,,,,
CHM-MDMB-CHMINACA,CHM-MDMB-CHMINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
cis-Cinnamoylcocaine,Cis-cinnamoylcocaïne,Tropanes (stimulant),Tropanes (stimulant),Stimulants,Stimulants,CD,I,2,,,
Citalopram,Citalopram,Selective Serotonin Reuptake Inhibitors (SSRI),Inhibiteurs sélectifs de la recapture de la sérotonine (ISRS),Antidepressants,Antidépresseurs,FD,F,,,,
CL-2201,CL-2201,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
Clenbuterol,Clenbutérol,Phenethylamines (stimulant),Phénéthylamines (stimulant),Stimulants,Stimulants,FD,F,,,,
Clobazam,Clobazam,Benzodiazepines,Benzodiazépines,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,18,,5,
Clomiphene,Clomiphène,Selective estrogen receptor modulators (SERM),Modulateurs sélectifs des récepteurs d'œstrogènes (SERM),Physical performance enhancers,Substances améliorant la performance physique,FD,F,,,,
Clonazepam,Clonazépam,Benzodiazepines,Benzodiazépines,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,18,,6,
Clonazolam,Clonazolam,Benzodiazepines,Benzodiazépines,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,18,,,
Clonidine,Clonidine,Cutting agents,Agents de coupe,Other,Autre,FD,F,,,,
Clonitazene,Clonitazène,Nitazenes,Nitazènes,Opioids,Opioïdes,CD,I,13,,1,
Clorazepate,Clorazépate,Benzodiazepines,Benzodiazépines,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,18,,7,
Clotiazepam,Clotiazépam,Benzodiazepines,Benzodiazépines,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,12,,,
Cloxacillin,Cloxacilline,"Other (drugs) prescription, otc, or illicit","Autres (drogues) de prescription, en vente libre ou illicites",Other,Autre,FD,F,,,,
Cloxazolam,Cloxazolam,Benzodiazepines,Benzodiazépines,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,18,,8,
Coca leaves,Feuilles de coca,Tropanes (stimulant),Tropanes (stimulant),Stimulants,Stimulants,CD,I,2,,1,
Cocaine,Cocaïne,Tropanes (stimulant),Tropanes (stimulant),Stimulants,Stimulants,CD,I,2,,2,
Codeine,Codéine,Opiates,Opiacés,Opioids,Opioïdes,CD,I,1,,2,
Codeine,codéine,Opiates,Opiacés,Opioids,Opioïdes,CD,I,1,,2,
Codoxime,Codoxime,Opiates,Opiacés,Opioids,Opioïdes,CD,I,1,,8,
Concentrate of poppy straw*,Concentrate of poppy straw*,Opiates,Opiacés,Opioids,Opioïdes,,,,,,
"CP-47,497-C6","CP-47,497-C6",Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
"CP-47,497-C9","CP-47,497-C9",Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
Crotonylfentanyl,Crotonylfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
CUMYL-4CN-B7AICA,CUMYL-4CN-B7AICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
CUMYL-5F-P7AICA,CUMYL-5F-P7AICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
CUMYL-5F-PICA,CUMYL-5F-PICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
CUMYL-BICA,CUMYL-BICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
CUMYL-CB-MEGACLONE,CUMYL-CB-MEGACLONE,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
CUMYL-CBMICA,CUMYL-CBMICA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
CUMYL-CB-PINACA,CUMYL-CB-PINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
Cumyl-CH-MeGaClone,Cumyl-CH-MeGaClone,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
CUMYL-NBMINACA,CUMYL-NBMINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
CUMYL-PINACA,CUMYL-PINACA,Synthetic cannabinoids & mimetics,Cannabinoïdes synthétiques & mimétiques,Cannabinoids,Cannabinoïdes,,,,,,
Cyclobarbital,Cyclobarbital,Barbiturates,Barbituriques,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,1,,11,
Cyclobenzaprine,Cyclobenzaprine,Muscle relaxants,Relaxants musculaires,Other,Autre,FD,F,,,,
Cyclohexylfentanyl,Cyclohexylfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
cyclopentylfentanyl,cyclopentylfentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,,,,,,
Cyclopropyl fentanyl,Cyclopropyl fentanyl,Fentanyl & analogues,Fentanyl & analogues,Opioids,Opioïdes,CD,I,16,,,
Cyproheptadine,Cyproheptadine,Antihistamines (first-generation),Antihistaminiques (première génération),Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,OT,,,,,
Delorazepam,Délorazépam,Benzodiazepines,Benzodiazépines,Sedatives/ Hypnotics,Sédatifs/ Hypnotiques,CD,IV,18,,9,
